P3_DS_Arm_Mag_L,P4_DS_Arm_W,P6_DS_Arm_Th,P9_DS_Mag_H,P11_DS_Mag_W,P18_DS_Core_Gap,P19_DS_Core_R,P22_DS_Bobbin_Th,P23_DS_Coil_Th,P273_Arm_L,P69_DS_No_Turns,P60_DS_Core_Len,P61_DS_Wire_dia_mm,P62_DS_N_Len,P63_DS_N_Th,P66_DS_Capacitance,P67_DS_VCap,P190_Time_Ipeak,P191_Vcap_max,P192_Vcap_min,P193_E_per_Farad,P194_Time_1mm,P195_Time_Parting,P350_Time_1mm_Final,P351_Time_Parting_Final
7.152528346,12.88132086,1.99830754,4.705098072,2.294901928,1.55,1.772879252,0.4,1.732103587,7.002528346,79.83075395,6.4,0.328643549,16,5,0.806951502,77.89845237,225,0.002613637,0.002613489,0.002613489,297.5225611,91.63285857,364.4651374,98.96348726
7.152528346,12.88132086,1.99830754,4.705098072,2.294901928,1.55,1.772879252,0.4,1.650103684,7.002528346,50.16924605,6.4,0.391356451,13,4,0.806951502,60.10154763,175,0.001358866,0.001358771,0.001358771,303.5531699,90.15814937,371.8526332,97.37080132
7.152528346,12.88132086,1.99830754,4.705098072,3.905098072,1.55,2.027120748,0.4,1.732103587,7.002528346,79.83075395,6.4,0.328643549,16,5,0.523048498,77.89845237,235,0.002819762,0.002820088,0.002820088,291.2582242,112.7173544,356.7913247,121.7347427
7.152528346,12.88132086,1.99830754,4.705098072,3.905098072,1.55,1.772879252,0.4,1.38568287,7.002528346,50.16924605,6.4,0.328643549,16,4,0.806951502,60.10154763,190,0.001274728,0.001275042,0.001275042,298.2726193,114.3826086,365.3839587,123.5332172
7.152528346,12.88132086,1.99830754,4.705098072,3.905098072,1.55,2.027120748,0.4,1.650103684,7.002528346,50.16924605,6.4,0.391356451,13,4,0.523048498,60.10154763,195,0.001496977,0.001496919,0.001496919,287.2679689,108.920852,351.9032619,117.6345202
7.152528346,17.11867914,1.70169246,3.094901928,2.294901928,1.55,1.772879252,0.4,1.732103587,7.002528346,79.83075395,6.4,0.328643549,16,5,0.523048498,77.89845237,205,0.002517149,0.002517067,0.002517067,367.0054191,94.43627151,449.5816384,101.9911732
7.152528346,17.11867914,1.70169246,3.094901928,2.294901928,1.55,2.027120748,0.4,1.38568287,7.002528346,50.16924605,6.4,0.328643549,16,4,0.806951502,60.10154763,195,0.001410387,0.001410479,0.001410479,377.155326,95.38284617,462.0152744,103.0134739
7.152528346,17.11867914,1.70169246,3.094901928,2.294901928,1.55,1.772879252,0.4,1.650103684,7.002528346,50.16924605,6.4,0.391356451,13,4,0.523048498,60.10154763,155,0.001310172,0.001310195,0.001310195,373.4350602,92.96950114,457.4579488,100.4070612
7.152528346,17.11867914,1.70169246,3.094901928,3.905098072,1.55,1.772879252,0.4,1.38568287,7.002528346,50.16924605,6.4,0.328643549,16,4,0.523048498,60.10154763,165,0.001232408,0.001232335,0.001232335,349.729804,109.9417951,428.4190099,118.7371387
7.152528346,17.11867914,1.70169246,3.094901928,3.905098072,1.55,2.027120748,0.4,1.732103587,7.002528346,79.83075395,6.4,0.328643549,16,5,0.806951502,77.89845237,240,0.002825293,0.002826217,0.002826217,345.8679177,109.9927671,423.6881992,118.7921885
7.152528346,17.11867914,1.70169246,3.094901928,3.905098072,1.55,2.027120748,0.4,1.650103684,7.002528346,50.16924605,6.4,0.391356451,13,4,0.806951502,60.10154763,190,0.001497761,0.001498134,0.001498134,339.5257096,105.4120926,415.9189942,113.8450601
